Geography,Geographic Area Name,Estimate!!Households!!Median income (dollars),Estimate!!Families!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),"House Hold Less than $50,000","House Hold $50,000 to $99,999","House Hold $100,000 to $149,999","House Hold $150,000 to $199,999","House Hold $200,000 or more","Families Less than $50,000","Families $50,000 to $99,999","Families $100,000 to 149,999","Families $150,000 to $199,999","Families $200,000 or more","Married-couple Families Less than $50,000","Married-couple Families $50,000 to $99,999","Married-couple Families $100,000 to 149,999","Married-couple Families $150,000 to $199,999","Married-couple Families $200,000 or more","Nonfamily households Less than $50,000","Nonfamily households $50,000 to $99,999","Nonfamily households $100,000 to 149,999","Nonfamily households $150,000 to $199,999","Nonfamily households $200,000 or more",Vote Count,Biden_proportion,average_Biden_proportion
1400000US53001950100,"CensusTract9501,AdamsCounty,Washington",52589,70244,73250,27684,48.2,31.5,11.5,8.2,0.6,36.0,37.6,18.5,6.8,1.1,24.1,43.6,21.8,8.9,1.5,69.6,18.8,2.9,8.8,0.0,1511,"[0.1496063  0.28915663 0.30985915 0.1744186  0.25373134 0.26130653
 0.14880952 0.23696682]",0.2279818637125418
1400000US53001950200,"CensusTract9502,AdamsCounty,Washington",59886,64046,70000,22679,40.4,50.2,5.7,1.6,2.1,28.5,59.7,7.7,1.2,2.8,19.1,67.0,9.3,1.1,3.4,70.8,25.4,0.5,2.7,0.5,1522,"[0.19444444 0.10869565 0.24369748 0.11842105 0.19354839 0.542
 0.28181818 0.15789474 0.20481928 0.09756098 0.15151515 0.22857143]",0.2102488972336137
1400000US53001950301,"CensusTract9503.01,AdamsCounty,Washington",39928,40425,53523,-,60.3,29.0,4.0,6.8,0.0,60.5,32.8,5.0,1.8,0.0,48.5,42.5,6.6,2.3,0.0,59.8,13.7,0.0,26.5,0.0,1532,[0.15436242 0.22727273 0.36842105],0.2500187320038962
1400000US53001950302,"CensusTract9503.02,AdamsCounty,Washington",58884,60294,64875,21611,36.2,42.9,14.2,2.6,4.2,27.8,47.7,16.5,3.0,4.9,22.4,48.8,19.2,3.7,6.0,87.4,12.6,0.0,0.0,0.0,1536,[0.26368159],0.263681592039801
1400000US53001950303,"CensusTract9503.03,AdamsCounty,Washington",50915,51905,86339,28458,45.2,24.7,14.2,10.1,5.7,38.9,27.5,15.9,11.3,6.3,24.4,27.9,21.4,16.7,9.4,100.0,0.0,0.0,0.0,0.0,1540,[0.31007752 0.27440633],0.2922419259168354
1400000US53001950400,"CensusTract9504,AdamsCounty,Washington",63750,63558,74292,38243,45.60000000000001,32.6,12.2,3.9,5.8,46.4,30.2,11.2,4.9,7.4,27.2,38.6,19.0,8.4,6.7,69.9,26.4,3.8,0.0,0.0,1541,[0.52956989 0.41925466],0.4744122754291057
1400000US53001950500,"CensusTract9505,AdamsCounty,Washington",48542,47361,67361,-,53.3,32.7,11.9,0.0,2.2,51.1,34.4,11.8,0.0,2.7,28.5,47.1,19.9,0.0,4.6,84.5,12.7,2.7,0.0,0.0,1546,[0.3897281  0.54385965 0.41324201 0.40697674],0.4384516247795027
1400000US53003960100,"CensusTract9601,AsotinCounty,Washington",73942,86042,99766,41389,32.5,30.1,17.4,10.3,9.7,25.5,30.0,19.8,13.3,11.4,19.5,30.6,22.3,14.3,13.3,58.400000000000006,22.7,11.2,2.4,5.2,1604,[0.26689189 0.35093168 0.14084507 0.32441472 0.33333333 0.19809069],0.2690845634182604
1400000US53003960200,"CensusTract9602,AsotinCounty,Washington",72988,94665,100179,49683,32.6,32.7,19.8,9.0,5.9,27.200000000000003,27.0,24.5,12.8,8.4,22.4,27.6,28.0,12.6,9.6,51.5,44.7,3.7,0.0,0.0,1611,"[0.32954545 0.35087719 0.43518519 0.27116564 0.3651192  0.33660934
 0.3619403 ]",0.3500631869986259
1400000US53003960300,"CensusTract9603,AsotinCounty,Washington",38077,55369,57400,27614,59.2,32.1,7.6,0.0,1.0,40.1,45.1,14.0,0.0,0.9,27.3,51.1,20.2,0.0,1.5,79.5,18.5,0.8,0.0,1.1,1618,[0.49032258 0.42637363 0.43939394 0.43322476],0.4473287255282632
1400000US53003960400,"CensusTract9604,AsotinCounty,Washington",38777,43077,50707,30750,65.4,25.1,7.3,1.2,1.0,58.3,30.5,7.7,1.9,1.6,48.400000000000006,36.0,10.3,2.9,2.4,78.9,14.5,6.7,0.0,0.0,1627,[0.3930131],0.3930131004366812
1400000US53003960500,"CensusTract9605,AsotinCounty,Washington",42639,51714,81563,35584,59.2,30.5,8.4,1.9,0.0,46.4,42.5,9.6,1.5,0.0,38.4,46.0,13.4,2.1,0.0,75.89999999999999,16.6,7.4,0.0,0.0,1634,[0.44444444 0.44471154 0.44303797 0.44391408],0.4440270096837779
1400000US53003960600,"CensusTract9606,AsotinCounty,Washington",53947,62174,70043,42574,48.0,35.2,11.0,2.5,3.5,43.7,32.5,16.6,3.8,3.5,40.1,32.6,18.8,4.5,4.2,56.1,40.4,0.0,0.0,3.5,1640,[0.3243762  0.34942085 0.35540839],0.3430684791859812
1400000US53005010100,"CensusTract101,BentonCounty,Washington",104500,116182,125938,69236,14.0,33.9,24.5,18.9,8.5,8.1,32.2,26.2,21.4,12.1,3.7,29.1,30.2,24.6,12.4,34.7,36.0,16.3,13.1,0.0,16,"[0.53430353 0.524      0.56010929 0.57650273 0.55797101 0.59536082
 0.55369928]",0.5574209542008608
1400000US53005010201,"CensusTract102.01,BentonCounty,Washington",94250,114640,117817,66308,29.0,23.5,24.2,12.4,10.8,21.6,18.7,30.9,12.9,15.9,9.8,23.1,36.7,10.8,19.7,42.2,32.3,12.3,11.4,1.8,29,"[       nan 0.38875306 0.39499456 0.44607843 0.39963834 0.37556561
 0.25      ]",
1400000US53005010203,"CensusTract102.03,BentonCounty,Washington",59427,59833,72596,58750,41.2,24.3,22.3,7.8,4.4,42.7,20.1,27.1,3.4,6.6,29.5,27.8,27.8,5.1,9.8,43.4,26.0,15.0,14.4,1.2,33,[0.4902507  0.57400722 0.45983936 0.47515528],0.4998131383820652
1400000US53005010204,"CensusTract102.04,BentonCounty,Washington",27935,60313,69438,26274,60.0,28.6,8.3,2.1,1.1,48.6,42.6,6.8,1.9,0.0,28.8,55.9,12.0,3.3,0.0,67.5,19.2,9.3,2.2,1.8,35,[0.54761905 0.46511628 0.57635468],0.5296966688305903
1400000US53005010300,"CensusTract103,BentonCounty,Washington",72500,77615,71793,56324,22.2,49.5,17.9,8.6,1.8,16.1,53.2,19.1,8.8,2.8,10.9,52.2,17.0,15.1,4.8,34.8,46.6,12.1,6.3,0.0,37,[0.4175     0.44214876 0.3832021  0.39181287 0.42838019],0.4126087825963038
1400000US53005010400,"CensusTract104,BentonCounty,Washington",67074,66211,77500,51400,40.5,40.0,13.0,3.2,3.3,44.400000000000006,40.3,4.2,5.0,6.2,22.6,54.5,8.3,9.8,4.8,48.0,32.5,18.4,1.2,0.0,49,[0.48241206 0.44933921 0.38215103 0.4400978 ],0.438500024152313
1400000US53005010500,"CensusTract105,BentonCounty,Washington",61801,75486,87880,48846,39.900000000000006,36.5,13.7,7.7,2.4,34.900000000000006,35.599999999999994,17.7,8.2,3.7,11.9,44.0,26.8,12.4,4.9,51.8,38.2,5.2,4.9,0.0,65,[0.46015424 0.48680352 0.46575342 0.47668394],0.472348780797049
1400000US53005010600,"CensusTract106,BentonCounty,Washington",56544,58824,75694,47283,41.9,36.3,15.2,3.3,3.4,37.8,36.0,19.0,4.2,3.0,30.4,28.1,28.7,7.5,5.3,55.7,32.0,7.9,0.0,4.3,80,[0.458159   0.44495413 0.40705128 0.42763158 0.51208459],0.4499761154799864
1400000US53005010701,"CensusTract107.01,BentonCounty,Washington",70750,81157,82269,51136,25.700000000000003,43.2,15.0,7.2,9.0,15.5,52.6,14.3,10.6,6.9,13.5,54.5,14.7,11.0,6.3,47.9,35.6,5.3,0.0,11.1,91,[0.61314985 0.23429952        nan 0.27330508],
1400000US53005010703,"CensusTract107.03,BentonCounty,Washington",67500,80096,91375,44028,38.5,31.9,12.9,8.0,8.7,32.2,29.3,13.8,10.9,13.7,18.0,35.0,16.1,12.7,18.2,53.0,35.2,8.9,2.9,0.0,98,"[0.34482759 0.125      0.42715232 0.68307692 0.37423313 0.53941909
 0.35576923 0.33704453 0.33722871 0.22544952]",0.374920103874824
1400000US53005010705,"CensusTract107.05,BentonCounty,Washington",115660,118900,122174,64737,13.5,28.4,28.3,17.9,11.9,13.8,24.2,27.7,19.8,14.7,9.3,23.9,29.6,21.5,15.7,29.6,38.5,22.0,9.9,0.0,99,"[0.34279919 0.35119048 0.36858006 0.40920097 0.34295416 0.36774194
 0.30791789]",0.3557692396309805
1400000US53005010707,"CensusTract107.07,BentonCounty,Washington",111108,112750,116000,87443,5.7,33.4,35.2,9.7,16.1,3.3000000000000003,32.0,39.1,9.4,16.1,2.4,30.200000000000003,41.0,9.3,17.0,17.5,46.1,15.2,5.5,15.8,100,[0.30650155 0.36242424 0.35100548 0.4       ],0.3549828187181383
1400000US53005010708,"CensusTract107.08,BentonCounty,Washington",107670,129861,131500,33194,24.4,17.0,25.1,20.6,12.8,15.7,16.2,27.6,25.1,15.4,11.4,18.0,29.6,25.8,15.2,61.49999999999999,20.200000000000003,12.6,2.8,2.8,101,[0.27555556 0.32432432 0.23913043 0.38473282],0.3059357847724924
